Comment,Sentiment,Like,Haha,Angry,Love,Care,Sad,Wow
আমি জানতাম রে ভাই,Positive,2,1,0,0,0,0,0
ড্রাইভার গাড়ি ঘুড়াও ভুল রাস্তায় চলে আসছি,Positive,2,3,0,0,0,0,0
খেলা ভালোই জমে উঠেছিলো,Positive,1,1,0,0,0,0,0
ভাই এই বিজ্ঞাপন দিয়ে আপনি কয়টা গাড়ি পাইছেন এটা বলেন??,Negative,1,0,0,0,0,0,0
খেলা টা টাকার সাথে,Negative,0,2,0,0,0,0,0
আমি জানতাম সাকিব ভাই সবাইকে এমনি ভাবে খেলে দিবে,Positive,0,0,0,0,0,0,0
এবার আমার গাড়ি পাওয়া কে আটকাই,Positive,0,0,0,0,0,0,0
কামডা করলো কি,Positive,2,0,0,0,0,0,0
টাউট,Negative,2,0,0,0,0,0,0
প্রথমেতো ডরাইছি সাকিব্বা,Positive,0,0,0,0,0,0,0
সাকিব না খেলবে এবার হাবু ভাই০,Positive,0,0,0,0,0,0,0
আমিও খেলবো মানে ফুটবল,Positive,1,0,0,0,0,0,0
তামিম ইকবালকে সর যন্ত করে কেপ্টেনসি থেকে সরিয়ে তিনি এখন বহুত ফূর্তিতে আছে,Negative,0,1,0,0,0,0,0
শুভ কামনা সাকিব ভাই বিশ্বের একমাত্র ১৪ হাজার রান ও ৬০০ উইকেটের কারিগর,Positive,25,1,0,9,3,0,0
"অভিনন্দন বিশ্বসেরা অলরাউন্ডার সাকিব আল হাসান️🇧🇩
এশিয়া কাপ মিশনে চমৎকার কিছুর অপেক্ষায় ️",Positive,5,3,0,22,3,1,1
শুভকামনা ভাইয়া️🇧🇩,Positive,2,0,0,2,0,0,0
এর মাঝে আমি একজন,Positive,22,0,0,4,0,0,0
অভিনন্দন,Positive,16,1,0,3,1,0,0
বাংলার নবাব️,Positive,23,1,0,4,0,0,0
সাকিব একজন বাস্তববাদী মানুষ,Positive,22,1,0,4,1,0,0
অভিনন্দন কলিজা,Positive,1,0,0,0,0,0,0
সাকিব ভাই এখন শুধু একটা ট্রফি দেখার অপেক্ষায় ️,Positive,11,4,0,3,0,0,0
বেয়াদব ৭৫️,Positive,0,0,0,0,0,0,0
শুভকামনা ভালোবাসা অবিরাম ভাই,Positive,0,0,0,0,0,0,0
ভাই য়ে এখানে আমিও একজন আমার নামটা ম্যানশন করলে আপনার কি এমন ক্ষতি হতো আপনার একটা ম্যানশনে আপাতত লাখ খানি ফলোয়ার আমি পেয়ে যেতাম,Positive,0,1,0,0,0,0,0
"সাকিব সব সময় সেরা
সব কিছুতে সেরা",Positive,3,0,0,0,0,0,0
আমি আর ফলো করবো না কে করবে জানাচ্ছি,Positive,0,1,0,0,0,0,0
ভাই ️,Positive,9,1,0,1,0,0,0
অভিনন্দন নবাব,Positive,2,0,0,0,0,0,0
আমি আপনাকে ভালোবাসা দেই নি কে দিছে জানাচ্ছি,Positive,0,1,0,0,0,0,0
"এই বিশ্বকাপেই 17 মিলিয়ন হয়ে যাবে
SH 75",Positive,5,2,0,0,0,0,0
আমি জানি এখানে অনেক লোক আসবে কমেন্ট পড়তে তাই বলছি আমার একটা সাইকেল আছে বিক্রি করব,Positive,0,0,0,0,0,0,0
ভালোবাসা রইলো প্রিয় সাকিব আল হাসান,Positive,1,1,0,0,0,0,0
শুভ কামনা ভাইয়া,Positive,11,0,0,1,2,0,0
দুই বন্ধু একসাথে দেখা হোক ️,Positive,0,0,0,0,0,0,0
আল্লাহ তাআলা নেক আমল হায়াত দান করুন,Positive,0,0,0,0,0,0,0
শাকিব ভাই আপনি আরো এগিয়ে যাবেন এই প্রত্যাশা করি,Positive,0,0,0,0,0,0,0
"আমি আর ১ মিলিয়ন ফলোয়ার করতে পারবনা ‍
কে করতে পারবে জানাচ্ছি",Positive,5,1,0,0,0,0,0
আমি আর অভিনন্দন জানাবো না,Positive,0,0,0,0,0,0,0
বাংলাদেশের সর্বোচ্চ ফেসবুক ফলোয়ার্স বর্তমানে সাকিবের ১৬ মিলিয়ন,Positive,0,1,0,0,0,0,0
আমারে ১ম দিয়া দেন সাকিব ভাই🫶,Positive,1,0,0,0,0,0,0
অভিনন্দন বাংলার সুপারম্যান,Positive,7,1,0,1,2,0,0
লিডার🇧🇩🇧🇩,Positive,3,0,1,0,0,0,0
শুভ কামনা ভাই,Positive,0,0,0,0,0,0,0
আমি আর খেলা দেখবো না কে দেখবে জানাচ্ছি,Positive,0,1,0,0,0,0,0
অভিনন্দন ভালোবাসার প্রিয় মানুষ ️️️,Positive,0,0,0,0,0,0,0
ভালোবাসি ভাই,Positive,0,0,0,0,0,0,0
এশিয়া কাপ কিংবা বিশ্বকাপ যেকোনো একটি ট্রফি সাকিব আল হাসানের নেতৃত্বে আমরা দেখতে চাই তবেই ফ্যান ফলোয়ারদের মনের আশা পূর্ণ হবে,Positive,0,0,0,0,0,0,0
"আমি ফলো করিনি
ফলো কারা করেছে জানাচ্ছি",Positive,0,0,0,0,0,0,0
খালি রেকর্ড আর রেকর্ড,Neutral,4,2,0,0,0,0,0
আমি আর সাকিবকে সাপোর্ট করবো নাকে করবে জানাচ্ছি,Positive,0,0,0,0,0,0,0
আমি আর অভিনন্দন জানাচ্ছি না,Positive,0,0,0,0,0,0,0
আলহামদুলিল্লাহ,Positive,0,0,0,0,0,0,0
যাক শেষ পর্যন্ত সাকিব ভাই পরী মনিকে হারাতে পারছে,Positive,0,0,0,0,0,0,0
সাকিব ভাইয়ের উচিত সকল খেলা থেকে অবসর নিয়ে সারা বিশ্বের সোনা দোকান উদ্বোধন করা,Positive,0,0,0,0,0,0,0
অনেক অনেক শুভেচ্ছা ও অভিনন্দন অধিনায়ক,Positive,2,0,0,0,0,0,0
পরীমনির পক্ষ থেকে শুভেচছা,Positive,2,2,0,0,0,0,0
বস সবসময় পাশে আছি🫂‍️,Positive,1,0,0,0,0,0,0
ভাই এখন শুধু স্বপ্ন দেখা অধরা শিরোপা জেতা,Positive,0,0,0,0,0,0,0
কিং,Positive,0,0,0,0,0,0,0
আমি আর কমেন্ট করবোনা,Positive,0,0,0,0,0,0,0
অভিনন্দন আমাদের মাগুরার কিং,Positive,0,0,0,0,0,0,0
হৃদয়ে বাংলাদেশ মনে ব্রাজিল,Positive,0,0,0,0,0,0,0
অভিনন্দন এখন থেকে আর কমেন্ট করবো না কেন করবো না পরে জানাবো,Positive,0,0,0,0,0,0,0
সেরা অলরাউন্ডার অল টাইম,Positive,1,0,0,0,0,0,0
এগুলো আমি বুঝিনা কে বুঝে বলতেছি,Positive,0,0,0,0,0,0,0
আমরা নিঃশর্ত ভালোবাসিনা নবাব,Positive,0,0,0,1,1,0,0
জানাচ্ছি,Positive,4,0,0,0,0,0,0
সকলের মুখে হাসি ফোটাতে যে আমাদের একটা শিরোপা চাই ️️,Positive,0,0,0,2,0,0,0
ভাই অনেক হইছে এখন এগুলা ছাড়েন খেলায় মনোযোগ দেন,Negative,2,0,0,1,0,0,0
পার্ট টাইম ক্রিকেট ফুল টাইম বিজনেস,Negative,15,11,1,0,0,0,0
এক সাকিব এতো কিছু কিভাবে পারেন ভাই ️,Positive,16,6,0,2,1,0,0
তোমার পর আর কাওকে ভালো লাগেনি,Positive,4,0,0,2,1,0,0
মামা তুমি যা খেলা দেখাইছো ভয় পেয়ে গিয়েছিলাম,Positive,12,16,0,0,0,0,0
বিউটিফুল,Positive,12,0,0,0,0,0,0
আমি আর মোবাইল কিনবো না কে কিনবে জানাবো,Positive,7,1,0,0,0,0,0
বিজ্ঞাপন আল হাসান,Positive,9,2,0,0,0,0,0
তুমি সত্যিই অলরাউন্ডার  Shakib Al Hasan,Positive,9,1,0,0,0,0,0
দাম কমাইয়া দেন,Positive,7,0,0,0,0,0,0
প্রিয় ভাই আমার,Positive,0,0,0,0,0,0,0
ভাই আপনি যদি হোম ডেলিভারি করেন তাহলে আমি একটা ওয়াডার করব,Positive,0,0,0,0,0,0,0
"আমি Realmi 8 কিনেছি
আর কিনবো নাকে কিনবে জানাচ্ছি",Positive,1,1,0,0,0,0,0
আমি OPPO মোবাইল কিনবো না কিনবে কে জানাচ্ছি,Positive,2,0,0,0,0,0,0
মডেল সাকিব,Positive,1,0,0,0,0,0,0
দাম কত সাকিব ভাই,Neutral,2,0,0,0,0,0,0
আমি oppo A95 কিনেছি আর কিনবো না কে কিনবে জানাচ্ছি 🫤,Positive,1,0,0,0,0,0,0
কচি সাকিব,Positive,9,0,0,0,0,0,0
ভাই আমাকে একটা ফোন গিফট করেন ️,Positive,0,0,0,0,0,0,0
শুধু টাকা ইনকামের চিন্তা এতো পয়সা খাইব কে,Negative,1,1,0,0,0,0,0
আমি তোমার বিগ ফ্যান বললে দাম কমায় রাখবে,Positive,0,0,0,0,0,0,0
বেশি দাম হয়ে গেছে,Neutral,8,0,0,0,0,0,0
মনে কি রং লাগছে নাকি,Neutral,9,0,0,0,0,0,0
কলিজা,Positive,7,0,0,2,1,0,0
খেলবে এবার OPPO,Positive,6,1,0,0,0,0,0
নবাব ৭৫🫰,Positive,0,0,0,0,0,0,0
আর হতো?,Neutral,0,3,0,0,0,0,0
ShakibAlHasan ভাই আইফোন চালায় 🫤,Neutral,2,0,0,0,0,0,0
সুন্দর,Positive,0,0,0,0,0,0,0
এশিয়া কাপে ভালো কিছু করুন,Positive,2,0,0,0,0,0,0
এইবার থামো,Negative,4,0,0,0,0,0,0
শুভকামনা রইল বস এবার এশিয়া কাপে আমরাই চ্যাম্পিয়ন হবো ইনশাআল্লাহ 🇧🇩️,Positive,7,0,0,5,0,0,0
এত কিছু না করলে ও হয়,Neutral,2,0,0,0,0,0,0
আপনার কোনো কিছুর অভাব নাই,Neutral,2,0,0,0,0,0,0
একাই সব করে,Positive,0,0,0,0,0,0,0
মরুভূমি দেখার ইচ্ছে ছিলো,Positive,3,0,0,0,0,0,0
সাকিব মানেই দারুণ কিছু,Positive,6,0,0,0,0,0,0
তাহলে 78 নাম্বার জার্সি এই রহস্য মিঃ অলরাউন্ডার,Neutral,5,0,0,0,0,0,0
মিস্টার অলরাউন্ডার সাকিব আল হাসান শুভ কামনা রইল ️,Positive,10,0,0,0,0,0,0
আগে এশিয়া কাপ তার পরে মোবাইল,Neutral,0,0,0,0,0,0,0
এইবার এশিয়া কাপ বাংলাদেশ জিতবে কে বলেছে একটু পর জানাচ্ছি,Positive,0,0,0,0,0,0,0
ফুটফুটে সুন্ধর সেলেটি,Positive,3,0,0,0,0,0,0
ভাই সত্যি আপনি সুপারম্যান,Positive,1,0,0,0,0,0,0
এদিকে সংবাদ সম্মেলন এর সাথে সাথে এসব ও করা লাগে,Neutral,10,0,0,0,0,0,0
খেলবে কে জানাও,Positive,4,2,0,0,0,0,0
"ভালোবাসা অভিরাম ভাই
দোয়া করি এই ভাবে আরো অনেক দুর এগিয়ে যান",Positive,0,0,0,0,0,0,0
মাঝ রাতে ডাকাডাকি কেন,Neutral,5,0,0,0,0,0,0
"সাকিবকে এই ১৬মিলিয়ন ফলোয়ার কে দিয়েছে?
আওয়ামেলীগ সরকার দিয়েছে ️",Negative,1,1,0,0,0,0,0
ভাই আমাদের একটা স্পন্সর চাই,Positive,8,0,0,0,0,0,0
বাংলাদেশ লাঞ্চ হওয়ার আগে আমি কিনেছিলাম কিন্তু ভালো লাগেনি তাই বিক্রি করে দিয়েছিলাম,Neutral,0,0,0,0,0,0,0
এশিয়া কাপ ও বিশ্বকাপের ট্রফি তোমার হাতে দেখতে চাই নবাব,Positive,1,0,0,1,0,0,0
দাম কতো,Neutral,0,0,0,1,0,0,0
মাঝে মাঝে একটু দম নিয়েন বস,Positive,0,0,0,0,0,0,0
বিজ্ঞাপনেও সে অলরাউন্ডার,Positive,0,0,0,1,0,0,0
আমি আর প্রেস কনফারেন্স করবো না,Positive,9,0,0,0,0,0,0
অতো কিছুর সময় আছে,Positive,10,0,0,1,0,1,0
আপনি এশিয়া কাপ নিয়ে আসিয়েন বাংলাদেশে ️,Positive,4,0,0,2,0,0,0
এশিয়া কাপ আপনার নেতৃত্বে বাংলাদেশের হোক,Positive,2,0,0,0,0,0,0
অহংকার করিও না তে ভাই,Positive,1,0,0,0,0,0,0
ব্যবসা খুব ভালো চলতেছে ️,Neutral,9,3,0,1,0,0,0
আমি জানি ফেভারিট অপনেন ইন্ডিয়া🫶,Neutral,1,0,0,0,0,0,0
আমি আসছি না কে আসছে জানাচ্ছি,Positive,4,4,0,2,0,0,0
মহাকাব্যের মতো স্নিগ্ধ আপনার হাসি,Positive,11,0,0,5,5,0,0
ভাই শেষ মেষ খেলায় মন দেন এবার একটা টুর্নামেন্ট কাপ চাই ই চাই,Positive,13,0,0,5,0,0,0
আমি জানি আপনার প্রিয় ক্রিকেটার সায়েদ আনোয়ার,Positive,1,0,0,1,0,0,0
ভাই আপনি শ্রীলঙ্কায় গেছেন খেলতে এত সময় আসে কোথায় থেকে,Neutral,2,0,0,1,0,0,1
আমাগো মাগুরার পোলা বলে কথা️️,Positive,1,0,0,2,0,0,0
এই হাসি বড্ড বেশী ভালোবাসি,Positive,2,0,0,1,0,0,0
সেদিন তো ভাইয়া বাংলাদেশের ম্যাচ আছে,Neutral,2,3,0,1,0,0,0
ব্যবসা তো ভালোই চলতেছে দেখতেছি,Neutral,1,0,0,1,0,0,0
বাংলাদেশের অহংকার বাংলাদেশের গর্ব বাংলার প্রাণপ্রিয় সাকিব আল হাসান,Positive,0,0,0,0,0,0,0
সাপোর্ট পাই না প্রিয়,Neutral,1,0,0,0,0,0,0
নাম্বার ওয়ান ফ্যান,Positive,0,0,0,1,0,0,0
নিজের প্রশংসা নিজেই করা উচিত নয়,Negative,2,0,1,1,0,0,0
সাকিব ভাই ভালোবাসি আপনাকে🫶,Positive,3,0,0,0,0,0,0
সেরা প্রোমোটার ‍️🫶,Positive,1,0,0,0,0,0,0
আপনি এত পারেন কি করে ভাই,Positive,0,0,0,0,0,0,0
আড্ডা বাদ দিয়ে এসিয়া কাপ নিয়ে ঘরে ফিরে আশা চাই🫶🇧🇩,Positive,0,0,0,0,0,0,0
সাকিব ভাই,Neutral,0,0,0,0,0,0,0
নিউজ পরে কোটি কোটি টাকা কামিয়ে নিলো সাকিব ভাই,Neutral,1,0,0,0,0,0,0
সাকিব ভাই মানে পুরাই আগুন,Positive,3,0,1,0,0,0,0
আমি আর দেখবো না,Positive,2,0,0,0,0,0,0
ফ্যান ভাই অবশ্যই পুরো বাংলাদেশ ক্রিকেট দলের ফ্যান,Positive,1,0,0,0,0,0,0
আমি আর কমেন্ট করছি না,Positive,4,0,0,0,0,0,0
নবাব এশিয়া কাপ আমাদের লাগবে কিন্তু এবার,Positive,2,0,0,0,0,0,0
শুধু ফোনে এমবি ভরি আপনার কথা শোনার জন্য,Positive,2,0,0,0,0,0,0
আপনার অল টাইম ফেভারিট ক্রিকেটার সাঈদ আনোয়ার,Positive,1,0,0,0,0,0,0
এজন্য তো এয়ারপোর্টে থেকে নামার পরেই সিম কার্ডের খুজে শাকিব ভাই,Positive,0,0,0,0,0,0,0
তোমার আসা লাগবেনা কার আসা লাগবে জানাচ্ছি,Positive,1,0,0,0,0,0,0
আপনি কি শিওর আসবেন? নাকি অন্য কেউ আসবে জানাবেন,Positive,2,0,0,0,0,0,0
ফ্যান কিনা জানিনা ভাই হিসাবে মানিআর আমি তোমার কত বড় ফ্যান সেটা প্রমাণ করা লাগবেনা ব্র,Positive,1,0,0,0,0,0,0
এশিয়া কাপে মন দেন ভাই কয়দিন একটু এগুলো দূরে রাখেন,Positive,4,0,0,0,0,0,0
হ্যাঁ আমি ১ নাম্বার অলরাউন্ডার এর ১নাম্বার ফ্যান,Positive,0,0,0,1,0,0,0
ট্যাকা দিলে বস পাগলা হয়,Negative,1,0,0,0,0,0,0
আমি যদি পাইতাম,Neutral,7,2,0,0,0,0,1
নগদের ক্যাম্পেন টা কত তারিখে শুরু হবে,Neutral,2,1,0,0,0,0,0
আমি এই ক্যাম্পেইন এ যুক্ত হতে পারব কি?,Neutral,1,1,0,0,0,0,0
রিচার্জ এর সময় কয়টা থেকে কয়টা পর্যন্ত,Neutral,3,0,0,0,0,0,0
নতুন নতুন খেলায় আপনায় ভালোই মানায়️,Positive,0,0,0,0,0,0,0
আশায় থাকলাম ইনশাআল্লাহ,Positive,4,0,0,0,0,0,0
সাব্বাস বস,Positive,0,0,0,0,0,0,0
শুধু রিচার্জ করলেই হবে,Neutral,0,0,0,0,0,0,0
আমি যদি জিপি অ্যপ থেকে ক্যাশব্যাক অফারের জন্য নগদ থেকে পে করি তাহলে কি এই অফারের আওতাভুক্ত হবে,Neutral,3,0,0,0,0,0,0
কি ভাবে কি করতে হবে,Neutral,0,1,0,0,0,0,0
নগদেই সেরা,Positive,4,0,0,0,0,0,0
আমার নগদ একাউন্ট থেকে অন্য নাম্বারে রিচার্জ করলে কি হবে?,Neutral,4,0,0,0,0,0,0
ক্যাম্পেইনে যুক্ত হয়েছি কিনা সেটা বুঝবো কিভাবে?,Neutral,7,0,0,0,0,0,0
বস সময় সেরা থাকে,Positive,4,0,0,1,0,0,0
ওয়ে সেরা,Positive,0,0,0,0,0,0,0
ভালোবাসা অবিরাম,Positive,6,1,0,0,0,0,0
কথা ক্লিয়ার না ভেজাল আছে,Positive,0,0,0,0,0,0,0
আশায়‌ থাকলাম ভাইয়া,Positive,2,0,0,0,0,0,0
কিভাবে বুঝবো আমি গিফট পেয়েছি,Neutral,0,0,0,0,0,0,0
গ্ৰামের মানুষরা পেলে সত্যিই উপকৃত হবে,Positive,0,0,0,0,0,0,0
ভাই এবার খেলাটা মাঠে দেখায় দিয়েন ভাই শুভ কামনা রইল ️🇧🇩,Positive,0,0,0,0,0,0,0
অসাধারণ বস,Positive,0,0,0,0,0,0,0
খেলা হবে নগত এর সাথে,Positive,4,0,0,0,0,0,0
বস ভালোবাসি আপনাকে,Positive,5,0,0,0,0,0,0
বিশ্বকাপ টিকেট বিষয়ে আমি প্রথম অবগত করছিলাম নগদ কে বলেছিলাম একটা ক্যাম্পিং দেন সারা বাংলাদেশ থেকে ১ হাজার টিকিট পাবে ২০২৩ বিশ্বকাপ সেটা বাস্তব হলো ধন্যবাদ নগদ,Positive,5,1,0,0,0,0,0
এক্সপ্রেশনটা দারুণ ️,Positive,0,0,0,1,0,0,0
তাইলে এই খেলা ছিলো,Neutral,0,0,0,0,0,0,0
নগদের প্রতি আস্থা এবং বিশ্বাস সবসময় ছিল এবং থাকবে ️,Positive,0,0,0,0,0,0,0
এটাই বেস্ট সাকিব দা,Positive,1,0,0,1,0,0,0
সাকিব আল হাসান নম্বার ওয়ান সেরা,Positive,1,0,0,1,0,0,0
ঠিক আছে সাকিব ভাই আপনিই সেরা,Positive,0,0,0,0,0,0,0
এত কিছু বুঝি না,Positive,0,0,0,0,0,0,0
শুধু মোবাইল রিচার্জ করলে কি গাড়ি পাওয়া সম্ভব,Neutral,0,0,0,0,0,0,0
সব রিচার্জ করব নগদ থেকে পাইতে চাই একটা গাড়ি এবার,Positive,3,0,0,1,0,0,0
সাকিব সবসময় সেরার সাথেই যুক্ত থাকে,Positive,2,1,0,1,0,0,0
সাকিব ভাই দেখি সব জায়গায় আছে,Positive,2,0,0,0,0,0,0
বাহ চমৎকার ভাই 🇧🇩,Positive,2,0,0,0,0,0,0
এতো সকাল সকাল মাঠ থেকে বিদায়,Negative,137,4100,10,5,6,6,10
